Date,State,Latitude,Longitude,WS10M,WS50M,PS,T2M,WD10M,T2M_MAX,T2M_MIN,T2MDEW,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2015-05-10,Andaman and Nicobar Islands,11.6234,92.7265,0.83,0.85,100.71,30.22,241.2,30.59,29.75,24.1,69.81,2.5,6.5566
2015-05-11,Andaman and Nicobar Islands,11.6234,92.7265,1.4,1.46,100.78,30.47,242.6,30.92,30.0,24.69,71.31,3.3,5.9357
2015-05-12,Andaman and Nicobar Islands,11.6234,92.7265,2.1,2.2,100.82,30.12,220.2,30.31,29.79,25.13,74.63,3.2,3.546
2015-05-13,Andaman and Nicobar Islands,11.6234,92.7265,3.03,3.22,100.83,29.85,210.4,30.16,29.56,25.52,77.51,10.4,5.7259
2015-05-14,Andaman and Nicobar Islands,11.6234,92.7265,3.8,4.09,100.91,29.67,221.7,29.84,29.42,25.79,79.6,19.3,4.2394
2015-05-15,Andaman and Nicobar Islands,11.6234,92.7265,3.06,3.28,100.94,29.63,196.8,30.11,29.32,25.42,78.08,6.22,3.2527
2015-05-16,Andaman and Nicobar Islands,11.6234,92.7265,4.6,4.97,100.88,29.16,235.4,29.49,28.78,25.58,80.97,10.88,3.1147
2015-05-17,Andaman and Nicobar Islands,11.6234,92.7265,6.26,6.91,100.87,29.14,239.9,29.62,28.81,25.19,79.27,16.26,4.0634
2015-05-18,Andaman and Nicobar Islands,11.6234,92.7265,5.18,5.68,100.85,29.87,219.9,30.45,29.25,25.41,77.03,7.36,4.3526
2015-05-19,Andaman and Nicobar Islands,11.6234,92.7265,6.67,7.47,100.91,29.48,236.3,29.93,29.13,25.96,81.4,16.35,4.3723
2015-05-20,Andaman and Nicobar Islands,11.6234,92.7265,8.93,10.1,100.92,29.32,227.2,29.77,28.86,25.55,80.1,15.5,1.8763
2015-05-21,Andaman and Nicobar Islands,11.6234,92.7265,9.85,11.34,100.84,29.69,235.5,30.12,29.2,25.99,80.48,22.7,0.8779
2015-05-22,Andaman and Nicobar Islands,11.6234,92.7265,7.55,8.47,100.85,29.13,239.5,29.54,28.8,25.74,81.9,15.46,2.8248
2015-05-23,Andaman and Nicobar Islands,11.6234,92.7265,7.97,9.04,100.79,29.4,228.6,29.62,29.02,25.83,81.06,17.67,5.4211
2015-05-24,Andaman and Nicobar Islands,11.6234,92.7265,6.36,7.14,100.81,29.16,254.7,29.63,28.57,25.06,78.59,100.61,2.4418
2015-05-25,Andaman and Nicobar Islands,11.6234,92.7265,6.39,7.14,100.81,29.36,237.2,29.77,28.55,24.71,76.02,6.23,5.081
2015-05-26,Andaman and Nicobar Islands,11.6234,92.7265,6.39,7.16,100.85,29.33,226.5,29.7,28.94,25.2,78.39,6.94,6.0098
2015-05-27,Andaman and Nicobar Islands,11.6234,92.7265,6.89,7.69,100.85,28.83,232.4,29.2,28.06,24.87,79.11,10.98,4.7962
2015-05-28,Andaman and Nicobar Islands,11.6234,92.7265,5.96,6.64,100.75,28.87,230.7,29.17,28.55,24.99,79.52,10.12,4.2209
2015-05-29,Andaman and Nicobar Islands,11.6234,92.7265,4.28,4.72,100.83,28.55,219.8,29.08,28.06,25.51,83.52,1.25,1.2979
2015-05-30,Andaman and Nicobar Islands,11.6234,92.7265,5.95,6.59,100.9,28.35,237.5,28.82,28.0,25.08,82.41,3.04,4.8943
2015-05-31,Andaman and Nicobar Islands,11.6234,92.7265,6.0,6.67,100.81,28.77,227.0,29.31,27.96,25.08,80.43,1.21,6.534
2015-06-01,Andaman and Nicobar Islands,11.6234,92.7265,6.35,7.13,100.74,28.94,234.9,29.31,28.58,25.88,83.45,3.89,6.6062
2015-06-02,Andaman and Nicobar Islands,11.6234,92.7265,4.1,4.45,100.82,28.57,216.0,29.05,28.29,25.33,82.53,5.32,5.868
2015-06-03,Andaman and Nicobar Islands,11.6234,92.7265,2.3,2.44,100.81,28.34,172.6,28.55,28.1,24.87,81.44,4.38,5.6141
2015-06-04,Andaman and Nicobar Islands,11.6234,92.7265,3.48,3.73,100.77,28.43,197.8,28.78,28.13,25.23,82.72,2.26,3.9682
2015-06-05,Andaman and Nicobar Islands,11.6234,92.7265,1.93,2.02,100.79,28.42,282.8,28.75,27.97,24.35,78.55,0.18,6.9528
2015-06-06,Andaman and Nicobar Islands,11.6234,92.7265,2.77,2.93,100.76,28.84,250.8,29.28,28.2,24.82,78.83,0.03,6.5942
2015-06-07,Andaman and Nicobar Islands,11.6234,92.7265,3.43,3.67,100.77,29.14,225.7,29.6,28.56,24.79,77.36,0.02,6.4032
2015-06-08,Andaman and Nicobar Islands,11.6234,92.7265,3.34,3.59,100.8,29.48,237.9,29.83,29.13,24.82,75.98,0.11,6.3739
2015-06-09,Andaman and Nicobar Islands,11.6234,92.7265,4.75,5.17,100.83,28.79,242.1,29.24,28.29,25.16,80.68,0.98,5.5368
2015-06-10,Andaman and Nicobar Islands,11.6234,92.7265,4.29,4.63,100.77,28.77,256.4,29.18,28.35,24.87,79.44,2.72,6.0175
2015-06-11,Andaman and Nicobar Islands,11.6234,92.7265,3.42,3.64,100.78,28.37,238.4,29.13,27.56,24.66,80.31,2.72,5.1067
2015-06-12,Andaman and Nicobar Islands,11.6234,92.7265,4.75,5.18,100.79,28.52,245.4,28.95,27.77,25.32,82.75,2.96,6.4022
2015-06-13,Andaman and Nicobar Islands,11.6234,92.7265,5.06,5.57,100.76,28.75,240.8,29.08,28.59,25.2,81.04,6.9,5.5822
2015-06-14,Andaman and Nicobar Islands,11.6234,92.7265,5.44,5.99,100.71,28.78,237.5,29.27,28.35,24.9,79.52,11.05,4.7328
2015-06-15,Andaman and Nicobar Islands,11.6234,92.7265,6.41,7.13,100.69,28.49,232.7,28.72,27.83,24.77,80.18,23.1,3.0355
2015-06-16,Andaman and Nicobar Islands,11.6234,92.7265,8.06,9.03,100.65,28.06,226.3,28.51,27.53,24.58,81.28,28.62,3.0271
2015-06-17,Andaman and Nicobar Islands,11.6234,92.7265,9.37,10.68,100.5,28.56,227.5,28.94,28.07,25.04,81.17,26.1,4.3248
2015-06-18,Andaman and Nicobar Islands,11.6234,92.7265,8.81,10.17,100.51,29.21,221.2,29.56,28.91,25.65,81.09,28.15,5.3177
2015-06-19,Andaman and Nicobar Islands,11.6234,92.7265,10.19,11.77,100.66,28.79,210.7,29.04,28.5,25.34,81.6,9.72,2.3688
2015-06-20,Andaman and Nicobar Islands,11.6234,92.7265,9.62,11.24,100.73,29.11,221.4,29.54,28.51,25.02,78.58,5.69,2.5733
2015-06-21,Andaman and Nicobar Islands,11.6234,92.7265,8.94,10.41,100.75,28.96,219.0,29.22,28.75,26.2,84.99,7.88,5.0242
2015-06-22,Andaman and Nicobar Islands,11.6234,92.7265,8.8,10.26,100.78,28.93,220.0,29.16,28.7,26.22,85.24,7.2,4.6452
2015-06-23,Andaman and Nicobar Islands,11.6234,92.7265,8.97,10.43,100.78,28.74,225.2,28.91,28.56,26.35,86.84,12.59,2.8109
2015-06-24,Andaman and Nicobar Islands,11.6234,92.7265,9.75,11.48,100.83,28.74,227.8,28.98,28.5,26.2,86.11,12.8,4.6644
2015-06-25,Andaman and Nicobar Islands,11.6234,92.7265,10.68,12.53,100.78,28.66,232.0,28.82,28.42,25.91,85.11,25.27,3.5854
2015-06-26,Andaman and Nicobar Islands,11.6234,92.7265,10.27,11.93,100.78,28.23,223.8,28.51,27.89,24.89,82.13,0.38,3.9869
2015-06-27,Andaman and Nicobar Islands,11.6234,92.7265,10.08,11.6,100.86,28.19,210.1,28.53,27.72,24.4,79.88,5.62,1.3111
2015-06-28,Andaman and Nicobar Islands,11.6234,92.7265,7.94,9.07,101.07,28.31,213.5,28.64,27.54,25.51,84.74,30.82,0.9518
